date,Open,High,Low,Close,Adj. Close,Volume
2020-12-28 04:01:00,371.16,371.18,371.16,371.18,371.18,2176.0
2020-12-28 04:02:00,371.21,371.21,371.18,371.19,371.19,593.0
2020-12-28 04:04:00,371.12,371.12,371.12,371.12,371.12,723.0
2020-12-28 04:06:00,371.18,371.18,371.18,371.18,371.18,128.0
2020-12-28 04:07:00,371.24,371.24,371.24,371.24,371.24,332.0
2020-12-28 04:08:00,371.19,371.2,371.14,371.14,371.14,1650.0
2020-12-28 04:09:00,371.16,371.16,371.16,371.16,371.16,100.0
2020-12-28 04:10:00,371.09,371.09,371.07,371.07,371.07,548.0
2020-12-28 04:11:00,371.14,371.14,371.14,371.14,371.14,250.0
2020-12-28 04:15:00,371.14,371.14,371.13,371.13,371.13,325.0
2020-12-28 04:16:00,371.16,371.17,371.14,371.17,371.17,1301.0
2020-12-28 04:18:00,371.14,371.14,371.14,371.14,371.14,108.0
2020-12-28 04:22:00,371.14,371.14,371.14,371.14,371.14,530.0
2020-12-28 04:24:00,371.08,371.08,371.08,371.08,371.08,200.0
2020-12-28 04:38:00,371.1,371.1,371.1,371.1,371.1,183.0
2020-12-28 04:40:00,371.0,371.0,371.0,371.0,371.0,507.0
2020-12-28 04:41:00,371.0,371.13,371.0,371.12,371.12,5265.0
2020-12-28 04:42:00,371.17,371.24,371.17,371.24,371.24,683.0
2020-12-28 04:45:00,371.23,371.27,371.22,371.26,371.26,1060.0
2020-12-28 04:48:00,371.32,371.32,371.32,371.32,371.32,128.0
2020-12-28 04:49:00,371.32,371.32,371.32,371.32,371.32,167.0
2020-12-28 04:59:00,371.29,371.29,371.29,371.29,371.29,100.0
2020-12-28 05:05:00,371.32,371.32,371.32,371.32,371.32,210.0
2020-12-28 05:10:00,371.33,371.34,371.33,371.34,371.34,200.0
2020-12-28 05:17:00,371.35,371.35,371.35,371.35,371.35,100.0
2020-12-28 05:25:00,371.29,371.29,371.29,371.29,371.29,174.0
2020-12-28 05:28:00,371.18,371.18,371.17,371.17,371.17,431.0
2020-12-28 05:29:00,371.19,371.19,371.19,371.19,371.19,100.0
2020-12-28 05:30:00,371.21,371.21,371.21,371.21,371.21,2000.0
2020-12-28 05:31:00,371.21,371.21,371.21,371.21,371.21,501.0
2020-12-28 05:32:00,371.19,371.19,371.19,371.19,371.19,1001.0
2020-12-28 05:33:00,371.25,371.25,371.25,371.25,371.25,101.0
2020-12-28 05:34:00,371.25,371.25,371.25,371.25,371.25,501.0
2020-12-28 05:35:00,371.25,371.27,371.22,371.22,371.22,871.0
2020-12-28 05:39:00,371.24,371.24,371.24,371.24,371.24,201.0
2020-12-28 05:43:00,371.24,371.24,371.2,371.2,371.2,657.0
2020-12-28 05:44:00,371.17,371.21,371.17,371.21,371.21,618.0
2020-12-28 05:45:00,371.21,371.21,371.21,371.21,371.21,2501.0
2020-12-28 05:57:00,371.36,371.36,371.36,371.36,371.36,485.0
2020-12-28 05:58:00,371.35,371.35,371.35,371.35,371.35,302.0
2020-12-28 05:59:00,371.33,371.33,371.33,371.33,371.33,102.0
2020-12-28 06:01:00,371.4,371.41,371.4,371.41,371.41,389.0
2020-12-28 06:06:00,371.5,371.54,371.5,371.54,371.54,2180.0
2020-12-28 06:07:00,371.59,371.59,371.57,371.57,371.57,1200.0
2020-12-28 06:11:00,371.6,371.6,371.6,371.6,371.6,222.0
2020-12-28 06:12:00,371.67,371.75,371.67,371.75,371.75,699.0
2020-12-28 06:13:00,372.0,372.0,372.0,372.0,372.0,765.0
2020-12-28 06:14:00,372.0,372.01,372.0,372.01,372.01,300.0
2020-12-28 06:15:00,372.11,372.11,371.92,371.92,371.92,1453.0
2020-12-28 06:17:00,371.69,371.69,371.69,371.69,371.69,206.0
2020-12-28 06:18:00,371.67,371.67,371.64,371.64,371.64,2250.0
2020-12-28 06:22:00,371.57,371.57,371.56,371.57,371.57,1465.0
2020-12-28 06:25:00,371.51,371.51,371.51,371.51,371.51,271.0
2020-12-28 06:36:00,371.65,371.65,371.64,371.64,371.64,445.0
2020-12-28 06:42:00,371.7,371.7,371.7,371.7,371.7,113.0
2020-12-28 06:47:00,371.57,371.57,371.57,371.57,371.57,200.0
2020-12-28 06:49:00,371.65,371.65,371.58,371.58,371.58,750.0
2020-12-28 06:50:00,371.57,371.57,371.57,371.57,371.57,438.0
2020-12-28 06:51:00,371.58,371.59,371.58,371.59,371.59,1776.0
2020-12-28 06:53:00,371.64,371.65,371.64,371.65,371.65,2051.0
2020-12-28 06:54:00,371.6,371.6,371.59,371.59,371.59,503.0
2020-12-28 06:55:00,371.57,371.57,371.57,371.57,371.57,538.0
2020-12-28 06:56:00,371.54,371.54,371.54,371.54,371.54,585.0
2020-12-28 06:57:00,371.54,371.54,371.54,371.54,371.54,226.0
